date,time,street0,street1,location-notes,longitude,lattitude,total-fatality,total-injury,pedestrian-fatality,pedestrian-injury,bicycle-fatality,bicyle-injury,source,links,notes,entry-method
2019-02-05,04:00,SUNSET HWY,EB EXTO MURRAY BLVD,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.817566109,45.5228768519,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-11-25,17:00,SW BEAV-TIGARD HY,SB EXTO WALKER RD C1,Grade (vertical curve)/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.786604069,45.5021930901,0,6,0,0,0,0,ODOT,,,extract-odot.py
2019-04-30,07:00,SW ALLEN BLVD,SW ERICKSON AVE,Intersection/URBAN MINOR ARTERIAL,-122.811925694,45.4764848401,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-12-09,12:00,SW BLANTON ST,SW 173RD AVE,Intersection/URBAN LOCAL,-122.854657794,45.4908360069,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-09-10,21:00,SW TUALATIN VALLEY HY,SB EX BEAV-HLLSD C2,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.793017218,45.4903679588,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-01-22,00:00,OR 219,MP 1.8,Straight Roadway/RURAL MINOR ARTERIAL,-122.991537455,45.494434224,1,2,0,0,0,0,ODOT,,,extract-odot.py
2019-08-10,14:00,NW CANTON ST,NW SICKLE TER,Intersection/URBAN LOCAL,-122.845390183,45.5651985919,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-11-04,18:00,SW 170TH AVE,SW HERITAGE CT,Straight Roadway/URBAN MINOR ARTERIAL,-122.852246578,45.497808843,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-11-12,06:00,NW MARTIN RD,NW NEHALEM HY,Straight Roadway/URBAN MINOR ARTERIAL,-123.08028968,45.5327319163,1,0,1,0,0,0,ODOT,,,extract-odot.py
2019-04-17,15:00,NW GLENCOE RD,NW WREN RD,Intersection/RURAL MINOR ARTERIAL,-123.002904818,45.5624487556,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-03-20,07:00,SW BARROWS RD,SW WALNUT ST,Intersection/URBAN MINOR ARTERIAL,-122.823820547,45.4330424786,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-12-15,19:00,SUNSET HWY,EB EX SCHOLLS FRY C1,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER FREEWAYS AND EXP,-122.751051784,45.506264633,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-06-28,08:00,NW GILLIAM LN,NW MILLER RD,Intersection/URBAN LOCAL,-122.764939972,45.5320805415,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-11-15,19:00,SW MARTINAZZI AVE,SW WARM SPRINGS ST,Intersection/URBAN MAJOR COLLECTOR,-122.759099533,45.3789051702,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-11-02,19:00,WB EX-EN CANYON RD,SUNSET HWY,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.748694525,45.506914245,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-10-10,21:00,OR 8,MP 5.92,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.853503024,45.4924522731,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-02-22,15:00,NW LONG RD,NW SUSBAUER RD,Intersection/URBAN MAJOR COLLECTOR,-123.042271439,45.5384434245,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-12-07,21:00,NW CORNELL RD,EB EXTO BETHANY,Intersection/URBAN MINOR ARTERIAL,-122.838713094,45.5303854686,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-06-20,14:00,SW BLOOMING FERN HILL,SW GOLF COURSE RD,Intersection/RURAL MINOR ARTERIAL,-123.050572317,45.4875138637,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-06-27,17:00,CAMINO DR,GALES WAY,Straight Roadway/URBAN LOCAL,-123.12001835,45.5268267024,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-07-17,05:00,US 26,MP 57.19,Intersection/RURAL MINOR ARTERIAL,-122.997380829,45.5899432452,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-31,16:00,SW OLD HY 47,SW ETTERS RD,Grade (vertical curve)/URBAN MAJOR COLLECTOR,-123.140026237,45.4742974848,0,1,0,0,0,1,ODOT,,,extract-odot.py
2019-01-04,18:00,SE TUALATIN VALLEY HY,SE 32ND AVE,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.950451042,45.5026090719,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-06-19,19:00,OR 8,MP 7.28,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.881156843,45.495297286,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-02-14,14:00,NW CORNELIUS PASS RD,NW QUATAMA RD,Intersection/URBAN MINOR ARTERIAL,-122.899898648,45.5231326248,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-12-22,18:00,SW BROCKMAN RD,SW DAVIES RD,Intersection/URBAN MINOR ARTERIAL,-122.820879503,45.454787601,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-08-15,09:00,US 26,MP 60.8,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.930592968,45.5657749553,1,3,0,0,0,0,ODOT,,,extract-odot.py
2019-04-21,00:00,SW TILE FLAT RD,SW GRABHORN RD,Curve (horizontal curve)/URBAN MAJOR COLLECTOR,-122.880104256,45.4323918144,0,4,0,0,0,0,ODOT,,,extract-odot.py
2019-08-24,15:00,OR 99W,MP 16.69,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.867899954,45.3528081642,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-07-28,12:00,OR 219,MP 2.78,Intersection/RURAL MINOR ARTERIAL,-122.992287145,45.4803436827,0,4,0,0,0,0,ODOT,,,extract-odot.py
2019-02-11,20:00,OR 8,MP 6.26,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.86047652,45.4931418337,1,0,1,0,0,0,ODOT,,,extract-odot.py
2019-07-24,09:00,SW CANYON RD,SW 104TH AVE,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.784260135,45.4925074471,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-06-23,16:00,OR 47,MP 72.18,Grade (vertical curve)/RURAL MINOR ARTERIAL,-123.193957613,45.7484293576,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-02-01,14:00,NE CORNELL RD,NE 28TH AVE,Curve (horizontal curve)/URBAN PRINCIPAL ARTERIAL - OTHER,-122.953076333,45.5309046333,1,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-08,10:00,SW CEDAR HILLS BLVD,SW PARK WAY,Intersection/URBAN MINOR ARTERIAL,-122.796119963,45.5077096301,0,1,0,0,0,1,ODOT,,,extract-odot.py
2019-04-27,14:00,SW CARDINAL LN,SW SEQUOIA PKY,Intersection/URBAN MAJOR COLLECTOR,-122.746930871,45.4117410723,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-09-17,11:00,NW GALES CREEK RD,NW DAVID HILL RD,Straight Roadway/RURAL MINOR ARTERIAL,-123.184009447,45.5537838562,1,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-18,17:00,OR 8,MP 7.28,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.881156843,45.495297286,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-04-05,10:00,PACIFIC HY I-5,NB EX E PTLND FY C1,Straight Roadway/URBAN PRINCIPAL ARTERIAL - INTERSTATE,-122.76078945,45.3614245944,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-02-06,08:00,SW ALLEN BLVD,SW MURRAY BLVD,Straight Roadway/URBAN MINOR ARTERIAL,-122.823925658,45.4764572677,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-08-11,01:00,SW TUALATIN-SHERWOOD,SW 97TH AVE,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.778134296,45.3783244567,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-10-08,16:00,SW LOWER BOONES FERRY,SB EF L BOONES F C6,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.748097292,45.3963834022,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-09-03,07:00,NW ZION CHURCH RD,NW GORDON RD,Driveway or Alley/RURAL MINOR ARTERIAL,-123.014493716,45.5731738859,0,4,0,0,0,0,ODOT,,,extract-odot.py
2019-05-23,16:00,SW FARMINGTON RD,SW WATSON AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.806064322,45.4871419412,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-02-18,17:00,OR 10,MP 3.18,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.748171474,45.4863283134,0,5,0,0,0,0,ODOT,,,extract-odot.py
2019-12-02,07:00,W BASELINE RD,SW 170TH AVE,Intersection/URBAN MINOR ARTERIAL,-122.851995276,45.5125394845,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-02-08,23:00,US 26,MP 50.83,Grade (vertical curve)/RURAL PRINCIPAL ARTERIAL - OTHER,-123.10997586,45.6358535473,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-02-28,16:00,S DOGWOOD ST,S 12TH AVE,Intersection/URBAN MAJOR COLLECTOR,-123.057018891,45.5166918768,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-04,20:00,NW EVERGREEN PKY,NW STUCKI AVE,Intersection/URBAN MINOR ARTERIAL,-122.874272902,45.5406400178,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-01-27,14:00,SW ROY ROGERS RD,SW BULL MOUNTAIN RD,Bridge Structure/URBAN MINOR ARTERIAL,-122.851744862,45.411619879,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-07-13,11:00,SW CEDAR HILLS BLVD,SW MILLIKAN WAY,Intersection/URBAN MINOR ARTERIAL,-122.810749613,45.4896177101,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-03-27,16:00,SW BUTNER RD,SW PARK WAY,Straight Roadway/URBAN MAJOR COLLECTOR,-122.78320683,45.508874901,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-06-30,05:00,SW CORNELIUS PASS RD,SW LOIS ST,Straight Roadway/URBAN MINOR ARTERIAL,-122.901968913,45.5125697215,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-09-02,14:00,NW GALES CREEK RD,NW OLD WILSON RIVER RD,Intersection/RURAL MINOR ARTERIAL,-123.213439184,45.5848864692,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-11-29,05:00,SW CENTURY DR,SW TUALATIN-SHERWOOD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.83017174,45.3678363384,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-11-03,17:00,SW SCHOLLS FERRY RD,SW CRYSTAL ST,Driveway or Alley/URBAN MINOR ARTERIAL,-122.779453372,45.4624132964,1,0,1,0,0,0,ODOT,,,extract-odot.py
2019-11-19,15:00,SW TUALATIN RD,SW CHEROKEE ST,Curve (horizontal curve)/URBAN MAJOR COLLECTOR,-122.764381173,45.3864530641,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-07-12,10:00,SW FARMINGTON RD,SW 153RD AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.83492977,45.4847161679,1,2,0,0,0,0,ODOT,,,extract-odot.py
2019-08-15,17:00,SW PACIFIC HY 99W,SW TUALATIN-SHERWOOD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.843110511,45.3699327119,0,5,0,0,0,0,ODOT,,,extract-odot.py
2019-02-18,18:00,SW BEAV-TUALATIN HY,SW LOWER BOONES FERRY,Straight Roadway/URBAN MINOR ARTERIAL,-122.756760261,45.3878693329,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-06-03,99:00,NW MEEK RD,NW 271ST AVE,Grade (vertical curve)/URBAN MINOR COLLECTOR,-122.959593129,45.57173982,1,0,0,0,0,0,ODOT,,,extract-odot.py
2019-01-03,21:00,SW BALTIC/98TH,SW BARNES RD,Intersection/URBAN MINOR ARTERIAL,-122.775419686,45.5099584601,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-03-17,19:00,OR 8,MP 6.26,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.860474354,45.4931417932,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-09-27,19:00,SW BEAV-HILLSDALE HY,SW LAURELWOOD AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.760878385,45.4862377923,0,1,0,1,0,0,ODOT,,,extract-odot.py
2019-04-18,13:00,LINCOLN ST,N 1ST AVE,Straight Roadway/URBAN LOCAL,-122.989240628,45.5239361628,0,1,0,0,0,1,ODOT,,,extract-odot.py
2019-06-10,15:00,SW BONITA RD,SW SEQUOIA PKY,Intersection/URBAN MINOR ARTERIAL,-122.746935385,45.4152624751,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-06-26,18:00,NW CORNELIUS PASS RD,NW OLD PASS RD,Straight Roadway/RURAL MINOR ARTERIAL,-122.882362129,45.5761886238,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-07-05,16:00,US 26,MP 40.7,Straight Roadway/RURAL PRINCIPAL ARTERIAL - OTHER,-123.254916611,45.7322996244,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-10-02,17:00,NW EVERGREEN PKY,NW JOHN OLSEN AVE,Intersection/URBAN MINOR ARTERIAL,-122.881541062,45.5436111195,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-06-04,20:00,SW PACIFIC HY 99W,SW WATKINS AVE,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.785580579,45.4204110785,1,0,0,0,1,0,ODOT,,,extract-odot.py
2019-09-25,20:00,SW WALKER RD,SW 123RD AVE,Driveway or Alley/URBAN MINOR ARTERIAL,-122.804056423,45.5008055198,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-02-15,17:00,NE 25TH AVE,NE CORNELL RD,Driveway or Alley/URBAN MINOR ARTERIAL,-122.956214805,45.5295093885,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-11,16:00,SW UPPER BOONES FERRY,SB EF U BOONES F C5,Intersection/URBAN MINOR ARTERIAL,-122.74510024,45.4072745201,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-06-29,14:00,NW HIGHLAND CT,NW 1ST ST/GLENCOE RD,Intersection/RURAL MINOR ARTERIAL,-122.995931674,45.5924155212,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-11-23,14:00,SW WALKER RD,SW 158TH AVE,Intersection/URBAN MINOR ARTERIAL,-122.839608412,45.5167706789,0,6,0,0,0,0,ODOT,,,extract-odot.py
2019-08-25,02:00,SW TUALATIN RD,SW 115TH AVE,Straight Roadway/URBAN MINOR COLLECTOR,-122.796275993,45.3897546303,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-10-14,06:00,NW EVERGREEN PKY,NW STUCKI AVE,Intersection/URBAN MINOR ARTERIAL,-122.874272902,45.5406400178,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-10-24,16:00,CASCADE AVE,SW SCHOLLS FERRY RD,Driveway or Alley/URBAN MAJOR COLLECTOR,-122.784119506,45.4484438942,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-07-05,13:00,SW TUALATIN VALLEY HY,SW 341ST AVE,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-123.029345544,45.5199826209,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-04-20,16:00,OR 10,MP 6.62,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.868574984,45.4747207758,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-03-05,12:00,E BASELINE ST,S 4TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-123.066733253,45.5200826696,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-01-14,18:00,SW 175TH AVE,SW COOPER MTN LN,Grade (vertical curve)/URBAN MINOR ARTERIAL,-122.856462662,45.4370858818,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-07-18,17:00,SW GRABEL RD,SW MINTER BRIDGE RD,Intersection/RURAL MINOR ARTERIAL,-122.985408377,45.4801416625,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-12-06,19:00,SE 10TH AVE,SE CEDAR ST,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.973961207,45.5163193668,1,0,0,0,1,0,ODOT,,,extract-odot.py
2019-08-23,11:00,SW SCHOLLS FERRY RD,SB EF SCHOLLS C1,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.785425549,45.4504795222,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-12-02,07:00,NW GLENCOE RD,NW ZIMMERMAN LN,Curve (horizontal curve)/URBAN MINOR ARTERIAL,-122.995634524,45.5548151949,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-08-28,18:00,OR 10,MP 5.98,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.879754073,45.4705438614,2,0,0,0,0,0,ODOT,,,extract-odot.py
2019-01-24,14:00,US 26,MP 40.81,Curve (horizontal curve)/RURAL PRINCIPAL ARTERIAL - OTHER,-123.25332778,45.7312356355,1,0,0,0,0,0,ODOT,,,extract-odot.py
2019-12-10,06:00,SW BEAV-HILLSDALE HY,SW GRIFFITH DR,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-122.795239184,45.4865486605,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-07-21,21:00,SE WALNUT ST,SE 10TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.973945559,45.5174544223,1,0,1,0,0,0,ODOT,,,extract-odot.py
2019-11-25,10:00,BASELINE ST,S 1ST AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.989819972,45.520137932,1,1,0,0,0,0,ODOT,,,extract-odot.py
2019-10-26,09:00,SW KINNAMAN RD,SW PARS PL,Driveway or Alley/URBAN MAJOR COLLECTOR,-122.861492966,45.483296588,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-07-26,09:00,SW CARR ST,SW 133RD AVE,Straight Roadway/URBAN MAJOR COLLECTOR,-122.812978892,45.458432909,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-26,06:00,SW FARMINGTON RD,SW TILE FLAT RD,Straight Roadway/RURAL MINOR ARTERIAL,-122.937630157,45.4474981123,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-02-16,13:00,OR 219,MP 3.84,Intersection/RURAL MINOR ARTERIAL,-122.992671349,45.4649694256,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-05-19,16:00,OR 6,MP 39.79,Driveway or Alley/RURAL MINOR ARTERIAL,-123.266817891,45.6399457324,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-03-01,14:00,SW GARDEN HOME RD,SW 87TH AVE,Intersection/URBAN MINOR ARTERIAL,-122.766747945,45.4658056306,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-10-03,22:00,OR 47,MP 75.5,Curve (horizontal curve)/RURAL MINOR ARTERIAL,-123.197777073,45.7037476514,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-11-12,14:00,OR 6,MP 33.39,Curve (horizontal curve)/RURAL MINOR ARTERIAL,-123.369486502,45.627062144,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-02-21,05:00,NE BROOKWOOD PKY,NE CORNELL RD,Curve (horizontal curve)/URBAN PRINCIPAL ARTERIAL - OTHER,-122.940096021,45.532270156,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-09-24,99:00,NW JACKSON SCHOOL RD,NW MASON HILL RD,Grade (vertical curve)/RURAL MINOR COLLECTOR,-122.967214559,45.6051148187,1,0,0,0,0,0,ODOT,,,extract-odot.py
2019-10-24,05:00,NW WALKER RD,NW 185TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.867440139,45.5276823666,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-08-03,13:00,OR 8,MP 14.81,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-123.021009665,45.5199777294,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-06-12,19:00,SW LANDAU ST,SW 85TH AVE,Straight Roadway/URBAN LOCAL,-122.763096891,45.4477164291,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-01-02,07:00,NE WALBRIDGE ST,NW 229TH AVE,Intersection/URBAN MAJOR COLLECTOR,-122.910137442,45.5370183031,1,1,0,0,0,0,ODOT,,,extract-odot.py
2019-04-20,15:00,SW SCHOLLS-SHERWOOD RD,SW SCHOLLS DR,Curve (horizontal curve)/RURAL MINOR ARTERIAL,-122.916582941,45.4079133896,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-12,11:00,US 26,MP 49.48,Bridge Structure/RURAL PRINCIPAL ARTERIAL - OTHER,-123.134601774,45.6446732164,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-12-10,13:00,SW ADAMS AVE,SW OAK ST,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.991351557,45.5188812655,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-07-04,14:00,NE CORNELL RD,NE 48TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.933834909,45.5335921691,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-07-16,18:00,W BASELINE RD,SW 170TH AVE,Straight Roadway/URBAN MINOR ARTERIAL,-122.852776589,45.5125333983,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-12-16,17:00,SW GREENBURG RD,SW WASHINGTON SQR RD,Intersection/URBAN MINOR ARTERIAL,-122.776443815,45.4459060885,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-20,01:00,US 26,MP 46.7,Straight Roadway/RURAL PRINCIPAL ARTERIAL - OTHER,-123.176160283,45.6719942204,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-02-03,11:00,W BASELINE RD,SW 185TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.867449363,45.5155473133,0,8,0,0,0,0,ODOT,,,extract-odot.py
2019-03-09,18:00,OR 8,MP 14.8,Straight Roadway/URBAN PRINCIPAL ARTERIAL - OTHER,-123.02082824,45.5199743399,1,1,1,0,0,0,ODOT,,,extract-odot.py
2019-10-28,04:00,NW 185TH AVE,NW HOLLY ST,Driveway or Alley/URBAN PRINCIPAL ARTERIAL - OTHER,-122.867469821,45.5252115518,1,0,1,0,0,0,ODOT,,,extract-odot.py
2019-10-20,18:00,185TH AVE,MP 0.0,Unknown/URBAN PRINCIPAL ARTERIAL - OTHER,-122.934508333,45.501822222,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-01-12,20:00,SW KINNAMAN RD,SW 198TH AVE,Intersection/URBAN MAJOR COLLECTOR,-122.881396563,45.4897280862,0,1,0,0,0,0,ODOT,,,extract-odot.py
2019-05-01,08:00,SW HALL BLVD,SW MCDONALD ST,Intersection/URBAN MINOR ARTERIAL,-122.765570248,45.4187999177,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-04-05,21:00,W BASELINE RD,SW 185TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.867449363,45.5155473133,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-08-29,14:00,SE WALNUT ST,SE 10TH AVE,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.973945559,45.5174544223,0,2,0,0,0,0,ODOT,,,extract-odot.py
2019-01-11,11:00,NW CORNELL RD,NW CORNELIUS PASS RD,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.900190809,45.5395632453,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-04-15,16:00,TUALATIN VLY HY,YEW ST,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-123.073160215,45.5207270078,0,3,0,0,0,0,ODOT,,,extract-odot.py
2019-04-22,23:00,SW MURRAY BLVD,SW TUALATIN VALLEY HY,Intersection/URBAN PRINCIPAL ARTERIAL - OTHER,-122.826095973,45.4895719219,0,2,0,0,0,0,ODOT,,,extract-odot.py
